Node,Port
AXCIRTR2,TenGigE0/1/0/7/0
AXCIRTR2,TenGigE0/1/0/8/0
BAADRDN1,GigabitEthernet1/0/0
BAADRDN1,GigabitEthernet1/0/1
BAADRDN1,GigabitEthernet8/0/0
BAADRDN1,GigabitEthernet8/0/1
BAADRDN2,GigabitEthernet1/0/0
BAATRAG1,GigabitEthernet1/0/0
BAATRAG1,GigabitEthernet1/0/1
BAATRAG1,GigabitEthernet1/0/7
BAATRAG1,GigabitEthernet3/0/0
BAATRAG1,GigabitEthernet8/0/0
BAATRAG1,GigabitEthernet8/0/3
BAATRAG1,GigabitEthernet8/0/4
BAATRAG1,GigabitEthernet8/0/6
BAATRAG1,GigabitEthernet1/0/2
BAATRAG1,GigabitEthernet2/0/12
BAATRAG1,GigabitEthernet2/0/18
BAATRAG1,GigabitEthernet2/1/18
BAATRAG1,GigabitEthernet3/0/2
BAATRAG1,GigabitEthernet8/0/1
BAATRAG1,GigabitEthernet8/0/5
BAATRAG1,GigabitEthernet8/0/7
BAATRAG2,GigabitEthernet1/0/0
BAATRAG2,GigabitEthernet1/0/1
BAATRAG2,GigabitEthernet1/0/7
BAATRAG2,GigabitEthernet3/0/0
BAATRAG2,GigabitEthernet8/0/0
BAATRAG2,GigabitEthernet8/0/3
BAATRAG2,GigabitEthernet8/0/4
BAATRAG2,GigabitEthernet8/0/6
BIJORDN1,GigabitEthernet1/0/0
BIJORDN1,GigabitEthernet3/1/0
BIJORDN1,GigabitEthernet3/1/1
BIJORDN1,GigabitEthernet4/0/3
BIJORDN1,GigabitEthernet5/1/0
BIJORDN1,GigabitEthernet6/0/1
BIJORDN1,GigabitEthernet2/0/0
BIJORDN1,GigabitEthernet2/0/3
BIJORDN1,GigabitEthernet5/0/0
BIJORDN1,GigabitEthernet5/1/1
BIJORDN1,GigabitEthernet7/0/0
BIJORDN1,GigabitEthernet8/0/1
BIJORDN2,GigabitEthernet1/0/0
BIJORDN2,GigabitEthernet3/1/1
BIJORDN2,GigabitEthernet4/0/2
BIJORDN2,GigabitEthernet6/0/0
BIJORDN2,GigabitEthernet6/0/1
BIJORDN2,GigabitEthernet8/1/1
BITORAG1,GigabitEthernet7/0/1
BITORAG1,GigabitEthernet8/0/0
BITORAG1,GigabitEthernet1/0/0
BITORAG1,GigabitEthernet3/0/1
BITORAG1,GigabitEthernet6/0/1
BITORAG1,GigabitEthernet7/0/4
BITORAG1,GigabitEthernet1/1/18
BITORAG1,GigabitEthernet1/1/19
BITORAG1,GigabitEthernet8/1/17
BITORAG1,GigabitEthernet8/1/18
BITORAG2,GigabitEthernet6/0/1
BITORAG2,GigabitEthernet1/0/0
BITORAG2,GigabitEthernet3/0/1
BITORAG2,GigabitEthernet7/0/4
BITORTR1,100GE11/1/0
BITORTR1,100GE12/1/0
BITORTR1,100GE13/1/0
BITORTR1,100GE16/1/0
BITORTR1,100GE2/0/0
BITORTR1,100GE2/1/0
BITORTR1,100GE6/1/0
BITORTR1,100GE7/1/0
BITORTR1,100GE8/1/0
BITORTR1,GigabitEthernet1/0/0
BITORTR1,GigabitEthernet1/0/6
BITORTR1,GigabitEthernet10/0/7
BITORTR1,GigabitEthernet10/0/8
BITORTR1,GigabitEthernet10/0/9
BITORTR1,GigabitEthernet14/0/0
BITORTR1,GigabitEthernet14/0/1
BITORTR1,GigabitEthernet14/0/5
BITORTR1,GigabitEthernet14/0/7
BITORTR1,GigabitEthernet3/0/10
BITORTR1,GigabitEthernet3/0/11
BITORTR1,GigabitEthernet3/0/5
BITORTR1,GigabitEthernet3/0/9
BITORTR1,GigabitEthernet3/1/1
BITORTR1,GigabitEthernet4/0/1
BITORTR1,GigabitEthernet4/0/5
BITORTR1,GigabitEthernet4/0/6
BITORTR1,GigabitEthernet4/1/1
BITORTR1,GigabitEthernet5/0/5
BITORTR1,GigabitEthernet6/0/10
BITORTR1,GigabitEthernet6/0/3
BITORTR1,GigabitEthernet6/0/6
BITORTR1,GigabitEthernet7/0/3
BITORTR1,GigabitEthernet8/0/6
BITORTR1,GigabitEthernet9/0/0
BITORTR1,GigabitEthernet1/0/1
BITORTR1,GigabitEthernet1/0/10
BITORTR1,GigabitEthernet1/0/2
BITORTR1,GigabitEthernet1/0/5
BITORTR1,GigabitEthernet1/0/7
BITORTR1,GigabitEthernet1/0/8
BITORTR1,GigabitEthernet1/0/9
BITORTR1,GigabitEthernet10/0/0
BITORTR1,GigabitEthernet10/0/1
BITORTR1,GigabitEthernet10/0/10
BITORTR1,GigabitEthernet10/0/11
BITORTR1,GigabitEthernet10/0/2
BITORTR1,GigabitEthernet10/0/6
BITORTR1,GigabitEthernet10/1/0
BITORTR1,GigabitEthernet10/1/1
BITORTR1,GigabitEthernet10/1/11
BITORTR1,GigabitEthernet10/1/2
BITORTR1,GigabitEthernet10/1/3
BITORTR1,GigabitEthernet10/1/5
BITORTR1,GigabitEthernet10/1/6
BITORTR1,GigabitEthernet10/1/9
BITORTR1,GigabitEthernet11/0/0
BITORTR1,GigabitEthernet11/0/1
BITORTR1,GigabitEthernet11/0/2
BITORTR1,GigabitEthernet11/0/4
BITORTR1,GigabitEthernet14/0/10
BITORTR1,GigabitEthernet14/0/11
BITORTR1,GigabitEthernet14/0/8
BITORTR1,GigabitEthernet14/0/9
BITORTR1,GigabitEthernet14/1/0
BITORTR1,GigabitEthernet14/1/1
BITORTR1,GigabitEthernet14/1/10
BITORTR1,GigabitEthernet14/1/2
BITORTR1,GigabitEthernet14/1/3
BITORTR1,GigabitEthernet14/1/4
BITORTR1,GigabitEthernet14/1/6
BITORTR1,GigabitEthernet14/1/8
BITORTR1,GigabitEthernet14/1/9
BITORTR1,GigabitEthernet3/0/7
BITORTR1,GigabitEthernet3/1/0
BITORTR1,GigabitEthernet3/1/2
BITORTR1,GigabitEthernet3/1/3
BITORTR1,GigabitEthernet3/1/4
BITORTR1,GigabitEthernet4/0/0
BITORTR1,GigabitEthernet4/0/11
BITORTR1,GigabitEthernet4/0/2
BITORTR1,GigabitEthernet4/0/3
BITORTR1,GigabitEthernet4/0/4
BITORTR1,GigabitEthernet4/0/7
BITORTR1,GigabitEthernet4/0/8
BITORTR1,GigabitEthernet4/1/0
BITORTR1,GigabitEthernet4/1/2
BITORTR1,GigabitEthernet4/1/3
BITORTR1,GigabitEthernet4/1/4
BITORTR1,GigabitEthernet4/1/5
BITORTR1,GigabitEthernet4/1/6
BITORTR1,GigabitEthernet5/0/0
BITORTR1,GigabitEthernet6/0/1
BITORTR1,GigabitEthernet6/0/2
BITORTR1,GigabitEthernet6/0/4
BITORTR1,GigabitEthernet6/0/5
BITORTR1,GigabitEthernet6/0/7
BITORTR1,GigabitEthernet6/0/9
BITORTR1,GigabitEthernet7/0/0
BITORTR1,GigabitEthernet7/0/1
BITORTR1,GigabitEthernet7/0/4
BITORTR1,GigabitEthernet7/0/5
BITORTR1,GigabitEthernet8/0/0
BITORTR1,GigabitEthernet8/0/2
