Node,Port
ahbz-ltds-z-2,GigabitEthernet2/0/0
shsh-chj-c-1,100GE10/0/0
shsh-sb-c-2,100GE10/0/0
zjhz-bj-b-2,100GE10/0/0
zjhz-hb-b-1,100GE10/0/0
shsh-chj-c-1,100GE10/0/1
shsh-sb-c-2,100GE10/0/1
bjbj-ch-c-1,100GE12/0/0
bjbj-fz-c-2,100GE12/0/0
bjbj-ch-c-1,100GE13/0/0
bjbj-fz-c-2,100GE13/0/0
bjbj-ch-c-1,100GE13/1/0
bjbj-fz-c-2,100GE13/1/0
shsh-sb-c-2,100GE14/0/0
shsh-sb-c-2,100GE15/0/0
shsh-sb-c-2,100GE16/0/0
cqcq-st-b-1,100GE4/0/0
cqcq-zms-b-2,100GE4/0/0
gzgy-jy-b-1,100GE5/0/0
gzgy-tpq-b-2,100GE5/0/0
haly-ln-b-2,100GE6/0/0
haly-xgl-b-1,100GE6/0/0
hazz-ecl-b-2,100GE6/0/0
hazz-zyl-b-1,100GE6/0/0
hets-xxg-b-2,100GE6/0/0
hets-xz-b-1,100GE6/0/0
hncs-gt-b-1,100GE6/0/0
hncs-yyl-b-2,100GE6/0/0
snxa-dwl-c-2,100GE6/0/0
snxa-xgx-c-1,100GE6/0/0
bjbj-ch-c-1,100GE7/0/0
bjbj-fz-c-2,100GE7/0/0
bjbj-yz-g-2,100GE7/0/0
gdgz-kxc-c-2,100GE7/0/0
gdgz-xm-c-1,100GE7/0/0
haly-ln-b-2,100GE7/0/0
haly-xgl-b-1,100GE7/0/0
hazz-ecl-b-2,100GE7/0/0
hazz-zyl-b-1,100GE7/0/0
hncs-gt-b-1,100GE7/0/0
hncs-yyl-b-2,100GE7/0/0
jxnc-hjz-b-1,100GE7/0/0
jxnc-ltgc-b-2,100GE7/0/0
sdjn-slc-b-1,100GE7/0/0
sdjn-ssn-b-2,100GE7/0/0
sdqd-lydl-b-1,100GE7/0/0
sdqd-sdl-b-2,100GE7/0/0
shsh-chj-c-1,100GE7/0/0
gdgz-kxc-c-2,100GE7/0/1
gdgz-xm-c-1,100GE7/0/1
shsh-chj-c-1,100GE7/0/1
bjbj-yz-g-2,100GE8/0/0
jxnc-hjz-b-1,100GE8/0/0
jxnc-ltgc-b-2,100GE8/0/0
sdjn-slc-b-1,100GE8/0/0
