PTN10490,PTN10581,1000
PTN15052,PTN10002,1000
PTN10523,PTN10532,10000
PTN10523,PTN10532,10000
PTN15259,PTN10307,100
PTN15097,PTN10448,1000
PTN10532,PTN10533,10000
PTN15032,PTN10362,100
PTN15100,PTN10016,1000
PTN15379,PTN10014,1000
PTN15408,PTN15296,1000
PTN15051,PTN10560,1000
PTN15226,PTN10422,1000
PTN15047,PTN10448,1000
PTN15074,PTN10492,1000
PTN15074,PTN10492,1000
PTN10532,PTN10533,20000
PTN15027,PTN15306,1000
PTN10448,PTN10416,10000
PTN15025,PTN10567,1000
PTN15048,PTN10514,1000
PTN15048,PTN10514,1000
PTN15093,PTN10359,1000
PTN15103,Virtual LSW-3,1000
PTN15073,PTN10424,1000
PTN15044,PTN10468,1000
PTN15044,PTN10468,1000
PTN10422,PTN10055,10000
PTN15024,PTN10581,1000
PTN15083,Virtual LSW-1,1000
PTN15200,PTN10418,1000
PTN15148,PTN10065,1000
PTN10307,PTN10479,1000
PTN15084,PTN10561,1000
PTN15045,PTN15052,1000
PTN15092,PTN15100,1000
PTN15250,PTN10418,1000
PTN15250,PTN10418,1000
PTN15029,PTN15260,100
PTN15240,PTN10421,1000
PTN15028,PTN15460,1000
PTN15028,PTN15460,1000
PTN15381,PTN10480,1000
PTN15095,PTN10473,1000
PTN15053,PTN10443,1000
PTN15193,PTN15041,1000
PTN15391,PTN15411,1000
PTN15089,PTN15379,1000
PTN15200,PTN10418,2000
PTN15358,PTN10491,1000
PTN15041,PTN10331,10000
PTN15081,PTN10014,1000
PTN10431,PTN10388,10000
PTN15328,PTN10434,1000
PTN15086,PTN10535,10000
PTN15030,PTN15341,1000
PTN15088,PTN10438,10000
PTN15088,PTN10438,10000
Virtual LSW-5,PTN10446,1000
PTN15378,PTN15381,1000
PTN10416,PTN10505,10000
PTN10416,PTN10505,10000
PTN15230,Virtual LSW-5,1000
PTN10580,PTN10436,10000
PTN10445,PTN10437,10000
PTN15059,PTN10412,1000
PTN10432,PTN10441,100000
PTN15045,PTN10076,1000
PTN10416,PTN10417,100000
PTN15149,PTN10065,1000
PTN15056,PTN15391,1000
PTN15200,PTN10418,1000
PTN15046,PTN15097,1000
PTN15248,PTN10434,1000
PTN15248,PTN10434,1000
PTN10432,PTN10441,103125
PTN10416,PTN10417,103125
PTN15068,PTN10249,1000
PTN15254,PTN10039,1000
PTN10425,PTN15296,1000
PTN15028,PTN10517,1000
PTN15028,PTN10517,1000
PTN15090,PTN10410,1000
PTN10416,PTN10426,10000
PTN10416,PTN10426,10000
PTN10419,PTN10533,10000
PTN10490,PTN15306,1000
PTN15098,PTN10532,1000
PTN15179,PTN10087,1000
PTN15200,PTN10076,1000
PTN15101,PTN10011,1000
PTN15052,PTN10451,1000
PTN15227,PTN10418,1000
PTN15227,PTN10418,1000
PTN15029,PTN10473,1000
PTN15196,PTN10372,1000
PTN15234,PTN10533,1000
PTN10386,PTN10387,100000
PTN10576,PTN10437,10000
PTN15233,PTN10420,1000
PTN15384,PTN15288,1000
PTN10386,PTN10387,103125
PTN15071,PTN10338,1000
PTN15069,PTN10303,1000
PTN15182,PTN10412,1000
PTN10473,PTN10474,1000
PTN10473,PTN10474,1000
PTN15367,PTN10438,1000
PTN15058,PTN10421,1000
PTN15170,PTN10039,1000
PTN10532,PTN10533,10000
PTN10199,PTN10448,1000
PTN15224,PTN15091,1000
